Genus,Species,IUV,mutual,Ratio
Eurema,Eurema_salome,1,2,0.534883720930233
Eurema,Eurema_sari,1,1,0.534883720930233
Eurema,Eurema_sarilata,1,1,0.534883720930233
Eurema,Eurema_senegalensis,1,2,0.534883720930233
Eurema,Eurema_simulatrix,0,0,0.534883720930233
Eurema,Eurema_smilax,1,1,0.534883720930233
Eurema,Eurema_tilaha,1,2,0.534883720930233
Eurema,Eurema_tominia,1,2,0.534883720930233
Eurema,Eurema_xantochlora,0,0,0.534883720930233
Eurema,Eurema_lisa,1,1,0.534883720930233
Eurema,Eurema_nise,1,1,0.534883720930233
Gonepteryx,Gonepteryx_amintha,1,2,1
Gonepteryx,Gonepteryx_aspasia,1,1,1
Gonepteryx,Gonepteryx_burmensis,1,2,1
Gonepteryx,Gonepteryx_cleopatra,1,2,1
Gonepteryx,Gonepteryx_farinosa,1,1,1
Gonepteryx,Gonepteryx_maxima,1,2,1
Gonepteryx,Gonepteryx_rhamni,1,1,1
Gonepteryx,Gonepteryx_taiwana,1,2,1
Hebomoia,Hebomoia_glaucippe,1,2,1
Ixias,Ixias_flavipennis,1,2,1
Ixias,Ixias_kuehni,1,2,1
Ixias,Ixias_marianne,1,1,1
Ixias,Ixias_pyrene,1,1,1
Ixias,Ixias_reinwardtii,1,2,1
Ixias,Ixias_undatus,1,2,1
Ixias,Ixias_venilia,1,2,1
Ixias,Ixias_vollenhovii,1,2,1
Kricogonia,Kricogonia_cabrerai,1,1,1
Kricogonia,Kricogonia_lyside,1,2,1
Phoebis,Phoebis_agarithe,1,1,0.636363636363636
Phoebis,Phoebis_argante,1,2,0.636363636363636
Phoebis,Phoebis_avellaneda,1,1,0.636363636363636
Phoebis,Phoebis_bourkei,0,0,0.636363636363636
Phoebis,Phoebis_editha,0,0,0.636363636363636
Phoebis,Phoebis_godartiana,1,1,0.636363636363636
Phoebis,Phoebis_hersilia,1,1,0.636363636363636
Phoebis,Phoebis_marcellina,0,0,0.636363636363636
Phoebis,Phoebis_neocypris,1,2,0.636363636363636
Phoebis,Phoebis_philea,1,2,0.636363636363636
Phoebis,Phoebis_sennae,0,0,0.636363636363636
Pyrisitia,Pyrisitia_chamberlaini,1,2,0.888888888888889
Pyrisitia,Pyrisitia_dina,1,2,0.888888888888889
Pyrisitia,Pyrisitia_euterpiformis,1,2,0.888888888888889
Pyrisitia,Pyrisitia_leuce,1,1,0.888888888888889
Pyrisitia,Pyrisitia_messalina,0,0,0.888888888888889
Pyrisitia,Pyrisitia_portoricensis,1,1,0.888888888888889
Pyrisitia,Pyrisitia_proterpia,1,2,0.888888888888889
Pyrisitia,Pyrisitia_pyro,1,2,0.888888888888889
Pyrisitia,Pyrisitia_venusta,1,2,0.888888888888889
Rhabdodryas,Rhabdodryas_trite,1,1,1
Zegris,Zegris_eupheme,0,0,0.333333333333333
Zegris,Zegris_fausti,1,1,0.333333333333333
Zegris,Zegris_pyrothoe,0,0,0.333333333333333
Zerene,Zerene_cesonia,1,1,1
Zerene,Zerene_eurydice,1,1,1
